Handle;Command;Title;Body HTML;Vendor;Type;Tags;Tags Command;Status;Published;Published At;Published Scope;Template Suffix;Gift Card;Category: ID;Category: Name;Category;Custom Collections;Image Attachment;Image Src;Image Command;Image Position;Image Alt Text;Variant ID;Variant Command;Option1 Name;Option1 Value;Option2 Name;Option2 Value;Option3 Name;Option3 Value;Variant Generate From Options;Variant Position;Variant SKU;Variant Weight;Variant Weight Unit;Variant HS Code;Variant Country of Origin;Variant Province of Origin;Variant Price;Variant Compare At Price;Variant Cost;Variant Requires Shipping;Variant Taxable;Variant Tax Code;Variant Barcode;Variant Image;Variant Inventory Tracker;Variant Inventory Policy;Variant Fulfillment Service;Variant Inventory Qty;Variant Inventory Adjust;Metafield: title_tag [string];Metafield: description_tag [string];Variant Metafield: custom.harvest_year [number_integer];Variant Metafield: custom.harvest_region [single_line_text_field];Variant Metafield: custom.dimension_depth [dimension];Variant Metafield: custom.dimension_height [dimension];Variant Metafield: custom.dimension_width [dimension];Metafield Namespace;Metafield Key;Metafield Value;Metafield Value Type;
natural-honey;MERGE;Natural Honey;"100% natural honey, harvested in Latvia wild meadows and forests.
Its taste is strong and saturated.";Beekeeper Peter;Raw honey;honey, natural, organic, wild;MERGE;Active;WAHR;2022-11-29 15:26:31 +0200;global;;FALSCH;;;;;;"https://matrixify.app/demo-files/media/honey-cat.webp; https://matrixify.app/demo-files/media/honey2.png";MERGE;1;honey;;MERGE;Weight;250g;Variety;Wild raspberry;;;FALSCH;1;HOPO-101;350;g;040900;LV;;5,00;6,00;3,00;WAHR;WAHR;;0346379830077;https://matrixify.app/demo-files/media/honey2.png;shopify;deny;manual;101;0;100% Natural Honey from Latvia;100% natural honey, harvested in Latvia wild meadows and forests;;;;;;;;;;
natural-honey;MERGE;Natural Honey;;Beekeeper Peter;Raw honey;honey, natural, organic, wild;MERGE;Active;WAHR;2022-11-29 15:26:31 +0200;global;;FALSCH;;;;;;https://matrixify.app/demo-files/media/honey1.png;MERGE;2;honey_250g;;MERGE;Weight;250g;Variety;Heather;;;FALSCH;2;HOPO-102;350;g;040900;LV;;4,00;5,00;3,00;WAHR;WAHR;;0346379830083;https://matrixify.app/demo-files/media/honey2.png;shopify;deny;manual;192;0;;;2022;Kurzeme;"{""value"":72.0,""unit"":""mm""}";"{""value"":100.0,""unit"":""mm""}";"{""value"":72.0,""unit"":""mm""}";;;;;
natural-honey;MERGE;Natural Honey;;Beekeeper Peter;Raw honey;honey, natural, organic, wild;MERGE;Active;WAHR;2022-11-29 15:26:31 +0200;global;;FALSCH;;;;;;https://matrixify.app/demo-files/media/honey3.png;MERGE;3;honey_500g;;MERGE;Weight;250g;Variety;Linden blossom;;;FALSCH;3;HOPO-103;350;g;040900;LV;;3,00;4,00;3,00;WAHR;WAHR;;0346379830095;;shopify;deny;manual;0;0;;;;;;;;;;;;
natural-honey;MERGE;Natural Honey;;Beekeeper Peter;Raw honey;honey, natural, organic, wild;MERGE;Active;WAHR;2022-11-29 15:26:31 +0200;global;;FALSCH;;;;;;;MERGE;4;honey_1kg;;MERGE;Weight;500g;Variety;Wild raspberry;;;FALSCH;4;HOPO-111;650;g;040900;LV;;9,50;10,00;5,00;WAHR;WAHR;;0346379830109;https://matrixify.app/demo-files/media/honey1.png;shopify;deny;manual;198;0;;;;;;;;;;;;
natural-honey;MERGE;Natural Honey;;Beekeeper Peter;Raw honey;honey, natural, organic, wild;MERGE;Active;WAHR;2022-11-29 15:26:31 +0200;global;;FALSCH;;;;;;;;;;;MERGE;Weight;500g;Variety;Heather;;;FALSCH;5;HOPO-112;650;g;040900;LV;;7,50;8,00;5,00;WAHR;WAHR;;0346379830117;;shopify;deny;manual;173;0;;;;;;;;;;;;
natural-honey;MERGE;Natural Honey;;Beekeeper Peter;Raw honey;honey, natural, organic, wild;MERGE;Active;WAHR;2022-11-29 15:26:31 +0200;global;;FALSCH;;;;;;;;;;;MERGE;Weight;500g;Variety;Linden blossom;;;FALSCH;6;HOPO-113;650;g;040900;LV;;5,50;6,00;5,00;WAHR;WAHR;;0346379830127;https://matrixify.app/demo-files/media/honey1.png;shopify;deny;manual;241;0;;;;;;;;;;;;
natural-honey;MERGE;Natural Honey;;Beekeeper Peter;Raw honey;honey, natural, organic, wild;MERGE;Active;WAHR;2022-11-29 15:26:31 +0200;global;;FALSCH;;;;;;;;;;;MERGE;Weight;1kg;Variety;Heather;;;FALSCH;7;HOPO-122;1,2;kg;040900;LV;;15,00;;9,00;WAHR;WAHR;;0346379830140;https://matrixify.app/demo-files/media/honey3.png;shopify;deny;manual;229;0;;;;;;;;;;;;
natural-honey;MERGE;Natural Honey;;Beekeeper Peter;Raw honey;honey, natural, organic, wild;MERGE;Active;WAHR;2022-11-29 15:26:31 +0200;global;;FALSCH;;;;;;;;;;;MERGE;Weight;1kg;Variety;Linden blossom;;;FALSCH;8;HOPO-123;1,2;kg;040900;LV;;10,00;;9,00;WAHR;WAHR;;0346379830151;https://matrixify.app/demo-files/media/honey3.png;shopify;deny;manual;280;0;;;;;;;;;;;;
propolis-20g;MERGE;Propolis 20g;Propolis is a resin-like material made by bees from the buds of poplar and cone-bearing trees;Beekeeper Peter;Propolis;natural, organic, propolis, wild;MERGE;Active;WAHR;2022-11-30 17:24:00 +0200;global;;FALSCH;2740;Vitamins & Supplements;Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements;;;https://matrixify.app/demo-files/media/propolis.webp;MERGE;1;propolis;;MERGE;Title;Default Title;;;;;FALSCH;1;HOPO-302;20;g;21069099;LV;;4,00;5,00;2,00;WAHR;WAHR;;0346379830174;;shopify;deny;manual;184;0;;;2020;Kurzeme;;;;;;;;
bee-bread-250g;MERGE;Bee bread 250g;Immunity and energy booster – full of organic vitamins, minerals, enzymes, amino acids, proteins and anti-oxidants. 10-15 g of Bee Bread per day, preferably in the morning;Beekeeper Peter;Bee bread;bee bread, natural, organic, wild;MERGE;Draft;FALSCH;;;;FALSCH;;;;;;https://matrixify.app/demo-files/media/beebread.webp;MERGE;1;beebread;;MERGE;Title;Default Title;;;;;FALSCH;1;HOPO-303;250;g;21069099;LV;;20,00;;;WAHR;WAHR;;0346379830184;;shopify;deny;manual;0;0;;;2022;Latgale;;;;;;;;
honeypot-gift-card;MERGE;HoneyPot Gift card;Select gift card amount and purchase your Gift Card;HoneyPot;Gift card;gift cards;MERGE;Active;WAHR;2022-12-01 10:51:12 +0200;web;;WAHR;;;;;;https://matrixify.app/demo-files/media/giftbox.webp;MERGE;1;giftbox;;MERGE;Denominations;€10.00;;;;;FALSCH;1;HOPO-501;;;;;;10,00;;;FALSCH;FALSCH;;0346379830210;;;deny;gift_card;;;;;;;;;;;;;;
honeypot-gift-card;MERGE;HoneyPot Gift card;;HoneyPot;Gift card;gift cards;MERGE;Active;WAHR;2022-12-01 10:51:12 +0200;web;;WAHR;;;;;;;;;;;MERGE;Denominations;€25.00;;;;;FALSCH;2;HOPO-502;;;;;;25,00;;;FALSCH;FALSCH;;0346379830223;;;deny;gift_card;;;;;;;;;;;;;;
honeypot-gift-card;MERGE;HoneyPot Gift card;;HoneyPot;Gift card;gift cards;MERGE;Active;WAHR;2022-12-01 10:51:12 +0200;web;;WAHR;;;;;;;;;;;MERGE;Denominations;€50.00;;;;;FALSCH;3;HOPO-503;;;;;;50,00;;;FALSCH;FALSCH;;0346379830238;;;deny;gift_card;;;;;;;;;;;;;;
